Years Since Launch,Fuel Remaining [lbm]
5.1749,55.254
5.2042,55.004
5.2261,54.99
5.2406,54.738
5.2477,54.983
5.2842,54.904
5.3275,54.849
5.3566,54.821
5.4219,54.668
5.4362,54.821
5.4725,54.918
5.5064,54.664
5.5146,54.696
5.5377,54.724
5.5594,54.65
5.574,54.594
5.6029,54.734
5.6175,54.594
5.6537,54.6
5.668,54.774
5.6898,54.477
5.7189,54.574
5.7623,54.449
5.7981,54.421
5.813,54.519
5.8638,54.399
5.8999,54.449
5.9144,54.288
5.9642,54.463
5.9795,54.26
5.9998,54.421
6.0159,54.288
6.0443,54.358
6.0739,54.175
6.1609,54.386
6.1682,54.425
6.1747,54.26
6.1825,54.133
6.1898,54.288
6.1957,54.316
6.2116,54.133
6.2189,53.983
6.2333,54.153
6.2913,54.168
6.3057,53.983
6.3275,54.068
6.342,53.998
6.3491,54.208
6.3709,54.195
6.4564,54.068
6.487,54.111
6.522,54.139
6.5449,54.026
6.5516,54.054
6.5807,54.016
6.6017,54.105
6.6161,53.747
6.6387,53.932
6.6523,53.988
6.6683,54.016
6.6752,54.026
6.6898,53.804
6.699,54.002
6.7115,53.807
6.7534,53.889
6.7761,53.765
6.7839,53.975
6.7912,53.679
6.813,53.736
6.8372,53.636
6.849,53.846
6.9288,53.82
6.9571,53.793
6.9721,53.955
7.0147,53.846
7.0366,53.693
7.052,53.779
7.0664,53.807
7.0954,53.846
7.1027,53.693
7.1302,53.736
7.1462,53.595
7.1605,53.736
7.1678,53.452
7.1751,53.394
7.1823,53.751
7.1896,53.466
7.2185,53.693
7.2838,53.693
7.2911,53.622
7.2984,53.693
7.3272,53.61
7.3338,53.595
7.3563,53.524
7.3623,53.582
7.37,53.538
7.383,53.351
7.3891,53.353
7.4287,53.336
7.4358,53.28
7.4427,53.382
7.4499,53.338
7.4571,53.324
7.4708,53.409
7.4717,53.309
7.479,53.382
7.5288,53.295
7.5373,53.41
7.572,53.38
7.5865,53.295
7.5953,53.382
7.6021,53.251
7.6082,53.149
7.6155,53.193
7.6243,53.193
7.6309,53.221
7.6446,53.251
7.6533,53.033
7.6678,53.062
7.6817,52.975
7.6888,52.989
7.6954,52.989
7.7025,53.004
7.7113,53.106
7.7184,53.003
7.7257,52.989
7.733,52.945
7.7394,53.016
7.7608,53.004
7.7836,53.002
7.7975,52.739
7.8187,52.974
7.8199,52.974
7.8345,52.96
7.8556,52.871
7.8631,52.783
7.8761,52.93
7.8847,52.93
7.8924,52.857
7.9068,52.796
7.914,52.796
7.9213,52.809
7.9352,52.767
7.9501,52.809
7.9648,52.781
7.9786,52.781
7.9865,52.737
8.0007,52.752
8.0655,52.723
8.0871,52.767
8.0941,52.634
8.1513,52.827
8.1592,52.767
8.2314,52.678
8.2834,52.6
8.2908,52.364
8.3052,52.678
8.3341,52.6
8.3414,52.304
8.3553,52.575
8.3625,52.542
8.3697,52.364
8.3908,52.575
8.3994,52.6
8.4065,52.497
8.4497,52.6
8.4718,52.572
8.4792,52.586
8.5216,52.6
8.5226,52.378
8.5288,52.364
8.5516,52.299
8.5731,52.344
8.5798,52.225
8.5878,52.387
8.6096,52.15
8.624,52.344
8.6312,52.387
8.6384,52.358
8.6443,52.195
8.6675,52.387
8.6963,52.344
8.711,52.387
8.7399,52.299
8.7472,52.372
8.7615,52.27
8.7689,52.143
8.7753,52.344
8.8195,52.129
8.8559,52.344
8.9488,52.255
8.9717,52.069
9.0076,52.158
9.1084,51.949
9.1225,52.143
9.159,52.111
9.21,52.024
9.2178,51.888
9.2324,52.129
9.2396,52.084
9.2603,52.045
9.268,52.279
9.283,52.2
9.2968,52.158
9.3116,51.843
9.3332,52.129
9.3404,52.009
9.3481,51.805
9.3691,51.82
9.4348,52.111
9.4489,52.135
9.4636,51.866
9.4925,51.911
9.5002,51.851
9.5212,51.994
9.5216,51.851
9.5793,51.775
9.5868,51.896
9.5943,51.866
9.6009,51.599
9.6079,51.66
9.609,51.584
9.6154,51.508
9.6736,51.783
9.7675,51.791
9.7893,51.76
9.8256,51.584
9.826,51.72
9.8324,51.675
9.9714,51.806
9.9928,51.663
10.103,51.656
10.115,51.645
10.174,51.636
10.189,51.629
10.196,51.619
10.202,51.607
10.224,51.587
10.224,51.567
10.246,51.558
10.268,51.546
10.29,51.527
10.297,51.507
10.333,51.486
10.348,51.466
10.369,51.425
10.405,51.394
10.413,51.362
10.456,51.339
10.478,51.314
10.486,51.298
10.5,51.258
10.521,51.238
10.528,51.205
10.543,51.162
10.557,51.12
10.565,51.086
10.594,51.067
10.607,51.036
10.644,51.021
10.644,50.958
10.652,50.929
10.673,50.909
10.702,50.867
10.702,50.825
10.732,50.792
10.739,50.755
10.753,50.693
10.754,50.68
10.775,50.646
10.804,50.606
10.818,50.557
10.826,50.535
10.848,50.513
10.869,50.495
10.884,50.455
10.906,50.415
10.926,50.387
10.942,50.359
10.985,50.32
10.999,50.272
11.014,50.234
11.021,50.205
11.028,50.172
11.057,50.13
11.079,50.087
